门店ID,门店版本ID,生效起始日期,生效截止日期,当前版本标记,门店名称,门店编码,POS门店编码,财务门店编码,外卖平台门店编码,品牌线,直营加盟类型,省份,城市,区域,店型,商圈,城市层级,面积_平方米,座位数,到店能力等级,开业日期,闭店日期,营业状态,是否90天内新店,新店标签,店长姓名,区域经理,门店类型
S00105,S00105_V1,2025-07-12,9999-12-31,1,广州购物中心0105店,广广00105,POS000105,FN000105,WM000105,主品牌,直营,广东,广州,商业区,外卖店,购物中心,一线,30,0,C,2025-07-12,,营业中,FALSE,非新店,章二,孔二,外卖卫星店
S00106,S00106_V1,2024-11-30,9999-12-31,1,武汉社区0106店,湖武00106,POS000106,FN000106,WM000106,主品牌,直营,湖北,武汉,商业区,快取店,社区,新一线,38,3,C,2024-11-30,,营业中,FALSE,非新店,云二,孔二,快取店
S00107,S00107_V1,2022-03-28,9999-12-31,1,海口购物中心0107店,海海00107,POS000107,FN000107,WM000107,子品牌-精品,加盟,海南,海口,商业区,快取店,购物中心,二线,48,1,C,2022-03-28,,营业中,FALSE,非新店,苏二,孔二,快取店
S00108,S00108_V1,2023-04-27,9999-12-31,1,天津交通枢纽0108店,天天00108,POS000108,FN000108,WM000108,主品牌,加盟,天津,天津,老城区,外卖店,交通枢纽,新一线,36,0,C,2023-04-27,,营业中,FALSE,非新店,潘二,孔二,外卖卫星店
S00109,S00109_V1,2022-12-08,9999-12-31,1,广州购物中心0109店,广广00109,POS000109,FN000109,WM000109,主品牌,直营,广东,广州,文教区,外卖店,购物中心,一线,30,0,C,2022-12-08,,营业中,FALSE,非新店,葛二,孔二,外卖卫星店
S00110,S00110_V1,2021-12-28,9999-12-31,1,长沙校园0110店,湖长00110,POS000110,FN000110,WM000110,子品牌-便利,直营,湖南,长沙,新兴区,标准店,校园,新一线,83,59,B,2021-12-28,,营业中,FALSE,非新店,奚二,孔二,学校店
S00111,S00111_V1,2023-08-07,9999-12-31,1,济南CBD0111店,山济00111,POS000111,FN000111,WM000111,主品牌,加盟,山东,济南,商业区,标准店,CBD,二线,124,37,B,2023-08-07,,营业中,FALSE,非新店,范二,孔二,写字楼店
S00112,S00112_V1,2024-02-26,9999-12-31,1,南京交通枢纽0112店,江南00112,POS000112,FN000112,WM000112,主品牌,直营,江苏,南京,核心区,快取店,交通枢纽,新一线,38,7,C,2024-02-26,,营业中,FALSE,非新店,彭二,孔二,快取店
S00113,S00113_V1,2023-12-04,9999-12-31,1,天津购物中心0113店,天天00113,POS000113,FN000113,WM000113,主品牌,加盟,天津,天津,文教区,快取店,购物中心,新一线,28,7,C,2023-12-04,,营业中,FALSE,非新店,郎二,孔二,快取店
S00114,S00114_V1,2023-10-07,9999-12-31,1,呼和浩特写字楼0114店,内呼00114,POS000114,FN000114,WM000114,主品牌,加盟,内蒙古,呼和浩特,老城区,外卖店,写字楼,三线,30,0,C,2023-10-07,,营业中,FALSE,非新店,鲁二,孔二,外卖卫星店
S00115,S00115_V1,2021-09-05,9999-12-31,1,成都购物中心0115店,四成00115,POS000115,FN000115,WM000115,主品牌,直营,四川,成都,核心区,旗舰店,购物中心,新一线,291,69,A,2021-09-05,,营业中,FALSE,非新店,韦二,孔二,旗舰店
S00116,S00116_V1,2023-06-30,9999-12-31,1,深圳CBD0116店,广深00116,POS000116,FN000116,WM000116,子品牌-精品,加盟,广东,深圳,核心区,快取店,CBD,一线,26,0,C,2023-06-30,,营业中,FALSE,非新店,昌二,孔二,快取店
S00117,S00117_V1,2024-06-12,9999-12-31,1,沈阳社区0117店,辽沈00117,POS000117,FN000117,WM000117,主品牌,直营,辽宁,沈阳,老城区,标准店,社区,新一线,122,58,B,2024-06-12,,营业中,FALSE,非新店,马二,孔二,社区店
S00118,S00118_V1,2023-09-06,9999-12-31,1,贵阳社区0118店,贵贵00118,POS000118,FN000118,WM000118,主品牌,直营,贵州,贵阳,老城区,外卖店,社区,二线,38,0,C,2023-09-06,,营业中,FALSE,非新店,苗二,孔二,外卖卫星店
S00119,S00119_V1,2023-12-06,9999-12-31,1,合肥写字楼0119店,安合00119,POS000119,FN000119,WM000119,主品牌,加盟,安徽,合肥,核心区,快取店,写字楼,二线,28,7,C,2023-12-06,,营业中,FALSE,非新店,凤二,孔二,快取店
S00120,S00120_V1,2023-07-01,9999-12-31,1,北京社区0120店,北北00120,POS000120,FN000120,WM000120,主品牌,直营,北京,北京,文教区,标准店,社区,一线,141,46,B,2023-07-01,,营业中,FALSE,非新店,花二,孔二,社区店
S00121,S00121_V1,2021-05-23,9999-12-31,1,成都CBD0121店,四成00121,POS000121,FN000121,WM000121,主品牌,直营,四川,成都,新兴区,快取店,CBD,新一线,25,6,C,2021-05-23,,营业中,FALSE,非新店,方二,俞二,快取店
S00122,S00122_V1,2023-08-28,9999-12-31,1,苏州交通枢纽0122店,江苏00122,POS000122,FN000122,WM000122,主品牌,直营,江苏,苏州,文教区,标准店,交通枢纽,新一线,114,44,B,2023-08-28,,营业中,FALSE,非新店,任二,俞二,交通店
S00123,S00123_V1,2023-01-31,9999-12-31,1,太原CBD0123店,山太00123,POS000123,FN000123,WM000123,子品牌-精品,直营,山西,太原,文教区,标准店,CBD,二线,89,56,B,2023-01-31,,营业中,FALSE,非新店,袁二,俞二,写字楼店
S00124,S00124_V1,2024-09-18,9999-12-31,1,长沙社区0124店,湖长00124,POS000124,FN000124,WM000124,主品牌,加盟,湖南,长沙,核心区,快取店,社区,新一线,31,6,C,2024-09-18,,营业中,FALSE,非新店,柳二,俞二,快取店
S00125,S00125_V1,2025-06-20,9999-12-31,1,北京社区0125店,北北00125,POS000125,FN000125,WM000125,主品牌,加盟,北京,北京,核心区,标准店,社区,一线,120,53,B,2025-06-20,,营业中,FALSE,非新店,唐二,俞二,社区店
S00126,S00126_V1,2022-05-17,9999-12-31,1,上海社区0126店,上上00126,POS000126,FN000126,WM000126,主品牌,直营,上海,上海,文教区,标准店,社区,一线,137,39,B,2022-05-17,,营业中,FALSE,非新店,罗二,俞二,社区店
S00127,S00127_V1,2024-11-14,9999-12-31,1,沈阳交通枢纽0127店,辽沈00127,POS000127,FN000127,WM000127,主品牌,加盟,辽宁,沈阳,老城区,外卖店,交通枢纽,新一线,20,0,C,2024-11-14,,营业中,FALSE,非新店,薛二,俞二,外卖卫星店
S00128,S00128_V1,2021-11-24,9999-12-31,1,南京购物中心0128店,江南00128,POS000128,FN000128,WM000128,主品牌,加盟,江苏,南京,核心区,标准店,购物中心,新一线,107,34,B,2021-11-24,,营业中,FALSE,非新店,伍二,俞二,商场店
S00129,S00129_V1,2023-04-14,9999-12-31,1,郑州购物中心0129店,河郑00129,POS000129,FN000129,WM000129,主品牌,直营,河南,郑州,老城区,标准店,购物中心,新一线,80,36,B,2023-04-14,,营业中,FALSE,非新店,余二,俞二,商场店
S00130,S00130_V1,2022-11-07,9999-12-31,1,广州写字楼0130店,广广00130,POS000130,FN000130,WM000130,主品牌,直营,广东,广州,老城区,快取店,写字楼,一线,40,9,C,2022-11-07,,营业中,FALSE,非新店,米二,俞二,快取店
S00131,S00131_V1,2022-02-23,9999-12-31,1,贵阳交通枢纽0131店,贵贵00131,POS000131,FN000131,WM000131,主品牌,直营,贵州,贵阳,文教区,标准店,交通枢纽,二线,109,57,B,2022-02-23,,营业中,FALSE,非新店,贝二,俞二,交通店
S00132,S00132_V1,2022-09-16,9999-12-31,1,乌鲁木齐街边店0132店,新乌00132,POS000132,FN000132,WM000132,子品牌-精品,加盟,新疆,乌鲁木齐,核心区,外卖店,街边店,三线,34,0,C,2022-09-16,,营业中,FALSE,非新店,姚二,俞二,外卖卫星店
S00133,S00133_V1,2023-05-15,9999-12-31,1,杭州写字楼0133店,浙杭00133,POS000133,FN000133,WM000133,主品牌,加盟,浙江,杭州,文教区,校园店,写字楼,新一线,42,15,B,2023-05-15,,营业中,FALSE,非新店,孟二,俞二,学校店
S00134,S00134_V1,2022-03-26,9999-12-31,1,太原购物中心0134店,山太00134,POS000134,FN000134,WM000134,主品牌,直营,山西,太原,老城区,快取店,购物中心,二线,29,1,C,2022-03-26,,营业中,FALSE,非新店,顾二,俞二,快取店
S00135,S00135_V1,2025-06-19,9999-12-31,1,厦门CBD0135店,福厦00135,POS000135,FN000135,WM000135,主品牌,加盟,福建,厦门,新兴区,快取店,CBD,二线,48,4,C,2025-06-19,,营业中,FALSE,非新店,尹二,俞二,快取店
S00136,S00136_V1,2025-03-02,9999-12-31,1,泉州写字楼0136店,福泉00136,POS000136,FN000136,WM000136,主品牌,直营,福建,泉州,老城区,快取店,写字楼,二线,35,1,C,2025-03-02,,营业中,FALSE,非新店,江二,俞二,快取店
S00137,S00137_V1,2023-03-02,9999-12-31,1,上海CBD0137店,上上00137,POS000137,FN000137,WM000137,主品牌,直营,上海,上海,商业区,旗舰店,CBD,一线,323,81,A,2023-03-02,,营业中,FALSE,非新店,钟二,俞二,旗舰店
S00138,S00138_V1,2024-06-19,9999-12-31,1,南通街边店0138店,江南00138,POS000138,FN000138,WM000138,子品牌-便利,加盟,江苏,南通,核心区,快取店,街边店,二线,34,6,C,2024-06-19,,营业中,FALSE,非新店,赵三,俞二,快取店
S00139,S00139_V1,2025-01-15,9999-12-31,1,东莞写字楼0139店,广东00139,POS000139,FN000139,WM000139,主品牌,直营,广东,东莞,老城区,快取店,写字楼,新一线,31,7,C,2025-01-15,,营业中,FALSE,非新店,钱三,俞二,快取店
S00140,S00140_V1,2021-09-22,9999-12-31,1,广州社区0140店,广广00140,POS000140,FN000140,WM000140,主品牌,直营,广东,广州,老城区,标准店,社区,一线,103,45,B,2021-09-22,,营业中,FALSE,非新店,孙三,俞二,社区店
S00141,S00141_V1,2022-08-19,9999-12-31,1,东莞CBD0141店,广东00141,POS000141,FN000141,WM000141,主品牌,直营,广东,东莞,新兴区,标准店,CBD,新一线,147,56,B,2022-08-19,,营业中,FALSE,非新店,李三,俞二,写字楼店
S00142,S00142_V1,2022-03-13,9999-12-31,1,宁波CBD0142店,浙宁00142,POS000142,FN000142,WM000142,主品牌,加盟,浙江,宁波,新兴区,快取店,CBD,新一线,29,2,C,2022-03-13,,营业中,FALSE,非新店,周三,俞二,快取店
S00143,S00143_V1,2022-09-19,9999-12-31,1,西安交通枢纽0143店,陕西00143,POS000143,FN000143,WM000143,主品牌,直营,陕西,西安,核心区,标准店,交通枢纽,新一线,119,53,B,2022-09-19,,营业中,FALSE,非新店,吴三,俞二,交通店
S00144,S00144_V1,2023-12-11,9999-12-31,1,宁波校园0144店,浙宁00144,POS000144,FN000144,WM000144,主品牌,加盟,浙江,宁波,老城区,快取店,校园,新一线,40,7,C,2023-12-11,,营业中,FALSE,非新店,郑三,俞二,快取店
S00145,S00145_V1,2025-02-22,9999-12-31,1,郑州购物中心0145店,河郑00145,POS000145,FN000145,WM000145,主品牌,加盟,河南,郑州,核心区,外卖店,购物中心,新一线,39,0,C,2025-02-22,,营业中,FALSE,非新店,王三,俞二,外卖卫星店
S00146,S00146_V1,2022-06-17,9999-12-31,1,深圳交通枢纽0146店,广深00146,POS000146,FN000146,WM000146,主品牌,直营,广东,深圳,核心区,校园店,交通枢纽,一线,40,10,B,2022-06-17,,营业中,FALSE,非新店,冯三,俞二,学校店
S00147,S00147_V1,2024-03-31,9999-12-31,1,杭州购物中心0147店,浙杭00147,POS000147,FN000147,WM000147,主品牌,直营,浙江,杭州,核心区,旗舰店,购物中心,新一线,270,73,A,2024-03-31,,营业中,FALSE,非新店,陈三,俞二,旗舰店
S00148,S00148_V1,2024-06-10,9999-12-31,1,武汉购物中心0148店,湖武00148,POS000148,FN000148,WM000148,主品牌,加盟,湖北,武汉,文教区,快取店,购物中心,新一线,48,6,C,2024-06-10,,营业中,FALSE,非新店,褚三,俞二,快取店
S00149,S00149_V1,2025-08-03,9999-12-31,1,上海社区0149店,上上00149,POS000149,FN000149,WM000149,主品牌,加盟,上海,上海,新兴区,标准店,社区,一线,114,40,B,2025-08-03,,营业中,FALSE,非新店,卫三,俞二,社区店
S00150,S00150_V1,2021-08-16,9999-12-31,1,泉州CBD0150店,福泉00150,POS000150,FN000150,WM000150,主品牌,直营,福建,泉州,核心区,标准店,CBD,二线,107,40,B,2021-08-16,,营业中,FALSE,非新店,蒋三,俞二,写字楼店
S00151,S00151_V1,2024-08-07,9999-12-31,1,烟台CBD0151店,山烟00151,POS000151,FN000151,WM000151,主品牌,直营,山东,烟台,老城区,标准店,CBD,三线,141,32,B,2024-08-07,,营业中,FALSE,非新店,沈三,韩三,写字楼店
S00152,S00152_V1,2021-12-20,9999-12-31,1,贵阳街边店0152店,贵贵00152,POS000152,FN000152,WM000152,主品牌,直营,贵州,贵阳,老城区,快取店,街边店,二线,49,4,C,2021-12-20,,营业中,FALSE,非新店,杨三,韩三,快取店
S00153,S00153_V1,2025-07-02,9999-12-31,1,无锡校园0153店,江无00153,POS000153,FN000153,WM000153,主品牌,直营,江苏,无锡,老城区,标准店,校园,二线,146,49,B,2025-07-02,,营业中,FALSE,非新店,秦三,韩三,学校店
S00154,S00154_V1,2024-07-27,9999-12-31,1,中山社区0154店,广中00154,POS000154,FN000154,WM000154,主品牌,直营,广东,中山,商业区,标准店,社区,二线,127,46,B,2024-07-27,,营业中,FALSE,非新店,尤三,韩三,社区店
S00155,S00155_V1,2022-06-09,9999-12-31,1,福州写字楼0155店,福福00155,POS000155,FN000155,WM000155,主品牌,直营,福建,福州,核心区,快取店,写字楼,二线,40,4,C,2022-06-09,,营业中,FALSE,非新店,许三,韩三,快取店
S00156,S00156_V1,2025-08-18,9999-12-31,1,绵阳写字楼0156店,四绵00156,POS000156,FN000156,WM000156,主品牌,直营,四川,绵阳,老城区,标准店,写字楼,三线,85,46,B,2025-08-18,,营业中,FALSE,非新店,何三,韩三,写字楼店
S00157,S00157_V1,2021-04-29,9999-12-31,1,杭州购物中心0157店,浙杭00157,POS000157,FN000157,WM000157,主品牌,直营,浙江,杭州,新兴区,校园店,购物中心,新一线,71,17,B,2021-04-29,,营业中,FALSE,非新店,吕三,韩三,学校店
S00158,S00158_V1,2024-09-26,9999-12-31,1,三亚社区0158店,海三00158,POS000158,FN000158,WM000158,主品牌,加盟,海南,三亚,核心区,外卖店,社区,二线,22,0,C,2024-09-26,,营业中,FALSE,非新店,施三,韩三,外卖卫星店
S00159,S00159_V1,2024-02-15,9999-12-31,1,大连写字楼0159店,辽大00159,POS000159,FN000159,WM000159,主品牌,加盟,辽宁,大连,商业区,外卖店,写字楼,二线,39,0,C,2024-02-15,,营业中,FALSE,非新店,张三,韩三,外卖卫星店
S00160,S00160_V1,2021-04-21,9999-12-31,1,成都购物中心0160店,四成00160,POS000160,FN000160,WM000160,子品牌-便利,加盟,四川,成都,新兴区,标准店,购物中心,新一线,108,32,B,2021-04-21,,营业中,FALSE,非新店,孔三,韩三,商场店
S00161,S00161_V1,2022-07-11,9999-12-31,1,合肥写字楼0161店,安合00161,POS000161,FN000161,WM000161,主品牌,直营,安徽,合肥,商业区,标准店,写字楼,二线,144,49,B,2022-07-11,,营业中,FALSE,非新店,曹三,韩三,写字楼店
S00162,S00162_V1,2024-11-01,9999-12-31,1,佛山社区0162店,广佛00162,POS000162,FN000162,WM000162,主品牌,直营,广东,佛山,商业区,快取店,社区,新一线,30,2,C,2024-11-01,,营业中,FALSE,非新店,严三,韩三,快取店
S00163,S00163_V1,2025-08-21,9999-12-31,1,泉州交通枢纽0163店,福泉00163,POS000163,FN000163,WM000163,主品牌,直营,福建,泉州,商业区,标准店,交通枢纽,二线,113,34,B,2025-08-21,,营业中,FALSE,非新店,华三,韩三,交通店
S00164,S00164_V1,2021-11-23,9999-12-31,1,长春购物中心0164店,吉长00164,POS000164,FN000164,WM000164,主品牌,直营,吉林,长春,新兴区,外卖店,购物中心,二线,39,0,C,2021-11-23,,营业中,FALSE,非新店,金三,韩三,外卖卫星店
S00165,S00165_V1,2024-04-08,9999-12-31,1,广州购物中心0165店,广广00165,POS000165,FN000165,WM000165,主品牌,直营,广东,广州,老城区,校园店,购物中心,一线,52,13,B,2024-04-08,,营业中,FALSE,非新店,魏三,韩三,学校店
S00166,S00166_V1,2025-06-15,9999-12-31,1,西安社区0166店,陕西00166,POS000166,FN000166,WM000166,子品牌-精品,直营,陕西,西安,商业区,外卖店,社区,新一线,36,0,C,2025-06-15,,营业中,FALSE,非新店,陶三,韩三,外卖卫星店
S00167,S00167_V1,2025-07-31,9999-12-31,1,温州街边店0167店,浙温00167,POS000167,FN000167,WM000167,主品牌,加盟,浙江,温州,老城区,标准店,街边店,二线,98,43,B,2025-07-31,,营业中,FALSE,非新店,姜三,韩三,社区店
S00168,S00168_V1,2023-06-07,9999-12-31,1,北京CBD0168店,北北00168,POS000168,FN000168,WM000168,主品牌,加盟,北京,北京,新兴区,外卖店,CBD,一线,28,0,C,2023-06-07,,营业中,FALSE,非新店,戚三,韩三,外卖卫星店
S00169,S00169_V1,2025-03-30,9999-12-31,1,苏州购物中心0169店,江苏00169,POS000169,FN000169,WM000169,主品牌,直营,江苏,苏州,新兴区,标准店,购物中心,新一线,126,57,B,2025-03-30,,营业中,FALSE,非新店,谢三,韩三,商场店
S00170,S00170_V1,2021-04-20,9999-12-31,1,贵阳CBD0170店,贵贵00170,POS000170,FN000170,WM000170,主品牌,直营,贵州,贵阳,核心区,旗舰店,CBD,二线,264,77,A,2021-04-20,,营业中,FALSE,非新店,邹三,韩三,旗舰店
S00171,S00171_V1,2025-06-27,9999-12-31,1,乌鲁木齐CBD0171店,新乌00171,POS000171,FN000171,WM000171,主品牌,加盟,新疆,乌鲁木齐,商业区,外卖店,CBD,三线,37,0,C,2025-06-27,,营业中,FALSE,非新店,喻三,韩三,外卖卫星店
S00172,S00172_V1,2024-01-12,9999-12-31,1,北京写字楼0172店,北北00172,POS000172,FN000172,WM000172,主品牌,加盟,北京,北京,老城区,标准店,写字楼,一线,104,33,B,2024-01-12,,营业中,FALSE,非新店,柏三,韩三,写字楼店
S00173,S00173_V1,2024-09-25,9999-12-31,1,常州社区0173店,江常00173,POS000173,FN000173,WM000173,主品牌,直营,江苏,常州,新兴区,标准店,社区,二线,98,55,B,2024-09-25,,营业中,FALSE,非新店,窦三,韩三,社区店
S00174,S00174_V1,2021-05-24,9999-12-31,1,厦门社区0174店,福厦00174,POS000174,FN000174,WM000174,主品牌,加盟,福建,厦门,商业区,标准店,社区,二线,146,35,B,2021-05-24,,营业中,FALSE,非新店,章三,韩三,社区店
S00175,S00175_V1,2023-01-22,9999-12-31,1,成都购物中心0175店,四成00175,POS000175,FN000175,WM000175,主品牌,加盟,四川,成都,核心区,标准店,购物中心,新一线,135,59,B,2023-01-22,,营业中,FALSE,非新店,云三,韩三,商场店
S00176,S00176_V1,2022-07-24,9999-12-31,1,哈尔滨写字楼0176店,黑哈00176,POS000176,FN000176,WM000176,主品牌,直营,黑龙江,哈尔滨,商业区,快取店,写字楼,二线,45,2,C,2022-07-24,,营业中,FALSE,非新店,苏三,韩三,快取店
S00177,S00177_V1,2024-02-07,9999-12-31,1,中山社区0177店,广中00177,POS000177,FN000177,WM000177,主品牌,直营,广东,中山,商业区,快取店,社区,二线,45,1,C,2024-02-07,,营业中,FALSE,非新店,潘三,韩三,快取店
S00178,S00178_V1,2022-11-24,9999-12-31,1,中山校园0178店,广中00178,POS000178,FN000178,WM000178,子品牌-便利,直营,广东,中山,商业区,标准店,校园,二线,128,44,B,2022-11-24,,营业中,FALSE,非新店,葛三,韩三,学校店
S00179,S00179_V1,2024-05-02,9999-12-31,1,无锡社区0179店,江无00179,POS000179,FN000179,WM000179,主品牌,直营,江苏,无锡,商业区,旗舰店,社区,二线,346,91,A,2024-05-02,,营业中,FALSE,非新店,奚三,韩三,旗舰店
S00180,S00180_V1,2024-10-21,9999-12-31,1,北京CBD0180店,北北00180,POS000180,FN000180,WM000180,主品牌,加盟,北京,北京,商业区,标准店,CBD,一线,86,32,B,2024-10-21,,营业中,FALSE,非新店,范三,韩三,写字楼店
S00181,S00181_V1,2024-09-07,9999-12-31,1,西安街边店0181店,陕西00181,POS000181,FN000181,WM000181,主品牌,加盟,陕西,西安,核心区,外卖店,街边店,新一线,22,0,C,2024-09-07,,营业中,FALSE,非新店,彭三,郎三,外卖卫星店
S00182,S00182_V1,2025-05-28,9999-12-31,1,南通CBD0182店,江南00182,POS000182,FN000182,WM000182,子品牌-精品,直营,江苏,南通,商业区,快取店,CBD,二线,45,0,C,2025-05-28,,营业中,FALSE,非新店,鲁三,郎三,快取店
S00183,S00183_V1,2023-01-09,9999-12-31,1,厦门社区0183店,福厦00183,POS000183,FN000183,WM000183,主品牌,加盟,福建,厦门,商业区,标准店,社区,二线,88,44,B,2023-01-09,,营业中,FALSE,非新店,韦三,郎三,社区店
S00184,S00184_V1,2022-03-28,9999-12-31,1,重庆社区0184店,重重00184,POS000184,FN000184,WM000184,主品牌,直营,重庆,重庆,老城区,标准店,社区,新一线,145,55,B,2022-03-28,,营业中,FALSE,非新店,昌三,郎三,社区店
S00185,S00185_V1,2024-08-09,9999-12-31,1,武汉写字楼0185店,湖武00185,POS000185,FN000185,WM000185,主品牌,直营,湖北,武汉,新兴区,旗舰店,写字楼,新一线,223,81,A,2024-08-09,,营业中,FALSE,非新店,马三,郎三,旗舰店
S00186,S00186_V1,2021-03-13,9999-12-31,1,长沙CBD0186店,湖长00186,POS000186,FN000186,WM000186,主品牌,直营,湖南,长沙,文教区,快取店,CBD,新一线,26,2,C,2021-03-13,,营业中,FALSE,非新店,苗三,郎三,快取店
S00187,S00187_V1,2021-08-05,9999-12-31,1,沈阳写字楼0187店,辽沈00187,POS000187,FN000187,WM000187,主品牌,直营,辽宁,沈阳,文教区,标准店,写字楼,新一线,103,54,B,2021-08-05,,营业中,FALSE,非新店,凤三,郎三,写字楼店
S00188,S00188_V1,2021-05-04,9999-12-31,1,郑州写字楼0188店,河郑00188,POS000188,FN000188,WM000188,主品牌,直营,河南,郑州,核心区,标准店,写字楼,新一线,106,51,B,2021-05-04,,营业中,FALSE,非新店,花三,郎三,写字楼店
S00189,S00189_V1,2025-05-10,9999-12-31,1,重庆写字楼0189店,重重00189,POS000189,FN000189,WM000189,主品牌,直营,重庆,重庆,商业区,校园店,写字楼,新一线,48,20,B,2025-05-10,,营业中,FALSE,非新店,方三,郎三,学校店
S00190,S00190_V1,2024-02-26,9999-12-31,1,重庆社区0190店,重重00190,POS000190,FN000190,WM000190,主品牌,加盟,重庆,重庆,老城区,标准店,社区,新一线,102,32,B,2024-02-26,,营业中,FALSE,非新店,俞三,郎三,社区店
S00191,S00191_V1,2023-08-12,9999-12-31,1,乌鲁木齐交通枢纽0191店,新乌00191,POS000191,FN000191,WM000191,主品牌,加盟,新疆,乌鲁木齐,老城区,快取店,交通枢纽,三线,45,8,C,2023-08-12,,营业中,FALSE,非新店,任三,郎三,快取店
S00192,S00192_V1,2024-07-15,9999-12-31,1,广州社区0192店,广广00192,POS000192,FN000192,WM000192,主品牌,加盟,广东,广州,老城区,标准店,社区,一线,96,48,B,2024-07-15,,营业中,FALSE,非新店,袁三,郎三,社区店
S00193,S00193_V1,2023-11-04,9999-12-31,1,三亚社区0193店,海三00193,POS000193,FN000193,WM000193,子品牌-精品,直营,海南,三亚,新兴区,标准店,社区,二线,113,42,B,2023-11-04,,营业中,FALSE,非新店,柳三,郎三,社区店
S00194,S00194_V1,2022-04-13,9999-12-31,1,青岛校园0194店,山青00194,POS000194,FN000194,WM000194,主品牌,加盟,山东,青岛,老城区,快取店,校园,新一线,35,6,C,2022-04-13,,营业中,FALSE,非新店,唐三,郎三,快取店
S00195,S00195_V1,2025-06-26,9999-12-31,1,沈阳写字楼0195店,辽沈00195,POS000195,FN000195,WM000195,主品牌,加盟,辽宁,沈阳,新兴区,标准店,写字楼,新一线,113,51,B,2025-06-26,,营业中,FALSE,非新店,罗三,郎三,写字楼店
S00196,S00196_V1,2024-10-15,9999-12-31,1,福州CBD0196店,福福00196,POS000196,FN000196,WM000196,主品牌,直营,福建,福州,新兴区,标准店,CBD,二线,98,32,B,2024-10-15,,营业中,FALSE,非新店,薛三,郎三,写字楼店
S00197,S00197_V1,2023-03-31,9999-12-31,1,佛山购物中心0197店,广佛00197,POS000197,FN000197,WM000197,主品牌,直营,广东,佛山,老城区,外卖店,购物中心,新一线,31,0,C,2023-03-31,,营业中,FALSE,非新店,伍三,郎三,外卖卫星店
S00198,S00198_V1,2025-08-10,9999-12-31,1,东莞CBD0198店,广东00198,POS000198,FN000198,WM000198,子品牌-便利,直营,广东,东莞,新兴区,标准店,CBD,新一线,138,32,B,2025-08-10,,营业中,FALSE,非新店,余三,郎三,写字楼店
S00199,S00199_V1,2024-12-09,9999-12-31,1,上海社区0199店,上上00199,POS000199,FN000199,WM000199,主品牌,加盟,上海,上海,文教区,标准店,社区,一线,138,55,B,2024-12-09,,营业中,FALSE,非新店,米三,郎三,社区店
S00200,S00200_V1,2021-09-21,9999-12-31,1,成都社区0200店,四成00200,POS000200,FN000200,WM000200,主品牌,加盟,四川,成都,文教区,快取店,社区,新一线,48,0,C,2021-09-21,,营业中,FALSE,非新店,贝三,郎三,快取店
