合同ID,加盟商ID,门店ID,门店类型,签约日期,合同期年数,到期日,分成模型,流水抽成率,年加盟费,装修标准,装修投入金额,设备投入金额,加盟费金额,保证金金额,总投资额,续约状态,合同状态
CTR00180,F0039,S00407,写字楼店,2022-07-06,5,2027-07-05,固定加盟费+流水分成,0.069,30000,B,488762,200000,350000,80000,1038762,未到期,生效中
CTR00181,F0040,S00410,快取店,2021-05-07,3,2024-05-06,纯固定加盟费,0.0,120000,A,779203,300000,250000,50000,1329203,已续约,生效中
CTR00182,F0041,S00411,快取店,2021-11-17,8,2029-11-15,流水分成,0.045,0,A,789020,150000,80000,80000,1019020,未到期,生效中
CTR00183,F0042,S00414,快取店,2022-11-18,8,2030-11-16,固定加盟费+流水分成,0.045,80000,B,487882,300000,350000,150000,1137882,未到期,生效中
CTR00184,F0043,S00416,商场店,2025-01-20,3,2028-01-20,纯固定加盟费,0.0,30000,A,800119,300000,350000,150000,1450119,未到期,生效中
CTR00185,F0044,S00422,快取店,2024-10-18,3,2027-10-18,流水分成,0.069,0,B,504011,300000,80000,100000,884011,未到期,生效中
CTR00186,F0045,S00423,学校店,2020-12-07,3,2023-12-07,流水分成,0.041,0,B,488762,300000,80000,80000,868762,已续约,生效中
CTR00187,F0046,S00424,夜市店,2022-12-18,8,2030-12-16,流水分成,0.069,0,B,496696,300000,150000,80000,946696,未到期,生效中
CTR00188,F0047,S00425,社区店,2023-03-04,3,2026-03-03,流水分成,0.062,0,B,478480,450000,150000,80000,1078480,已续约,生效中
CTR00189,F0048,S00426,学校店,2023-07-01,8,2031-06-29,固定加盟费+流水分成,0.044,80000,B,520416,300000,350000,150000,1170416,未到期,生效中
CTR00190,F0049,S00429,快取店,2024-04-06,8,2032-04-04,固定加盟费+流水分成,0.041,120000,B,506700,150000,80000,100000,736700,未到期,生效中
CTR00191,F0050,S00431,快取店,2021-12-10,5,2026-12-09,固定加盟费+流水分成,0.06,80000,B,484941,200000,350000,100000,1034941,未到期,生效中
CTR00192,F0051,S00435,夜市店,2021-10-17,5,2026-10-16,固定加盟费+流水分成,0.073,50000,B,483443,300000,80000,100000,863443,未到期,生效中
CTR00193,F0052,S00439,外卖卫星店,2023-05-06,8,2031-05-04,流水分成,0.05,0,C,292667,300000,350000,150000,942667,未到期,生效中
CTR00194,F0053,S00440,快取店,2021-11-06,3,2024-11-05,固定加盟费+流水分成,0.044,30000,A,801504,150000,80000,150000,1031504,已续约,生效中
CTR00195,F0054,S00443,社区店,2023-04-15,8,2031-04-13,固定加盟费+流水分成,0.058,80000,B,509896,450000,80000,100000,1039896,未到期,生效中
CTR00196,F0055,S00447,快取店,2025-02-23,3,2028-02-23,流水分成,0.048,0,B,486590,200000,350000,100000,1036590,未到期,生效中
CTR00197,F0056,S00448,社区店,2025-02-28,8,2033-02-26,固定加盟费+流水分成,0.061,50000,A,814515,450000,250000,50000,1514515,未到期,生效中
CTR00198,F0057,S00453,学校店,2024-01-28,3,2027-01-27,固定加盟费+流水分成,0.044,30000,B,497983,450000,80000,150000,1027983,未到期,生效中
CTR00199,F0058,S00455,快取店,2024-02-27,5,2029-02-25,固定加盟费+流水分成,0.051,80000,C,314298,450000,80000,150000,844298,未到期,生效中
CTR00200,F0059,S00457,外卖卫星店,2022-11-22,5,2027-11-21,流水分成,0.08,0,A,785408,450000,150000,50000,1385408,未到期,生效中
